gene,name
ARHGEF26,V_850
ARHGEF28,V_851
ARHGEF3,V_852
ARHGEF35,V_853
ARHGEF37,V_854
ARHGEF38,V_855
ARHGEF39,V_856
ARHGEF4,V_857
ARHGEF40,V_858
ARHGEF5,V_859
ARHGEF6,V_860
ARHGEF7,V_861
ARHGEF9,V_862
ARID1A,V_863
ARID1B,V_864
ARID2,V_865
ARID3B,V_866
ARID3C,V_867
ARID4A,V_868
ARID4B,V_869
ARID5B,V_870
ARIH1,V_871
ARIH2,V_872
ARL11,V_873
ARL13B,V_874
ARL14EP,V_875
ARL4A,V_876
ARL4D,V_877
ARL5B,V_878
ARL6IP1,V_879
ARL8B,V_880
ARMC1,V_881
ARMC12,V_882
ARMC2,V_883
ARMC3,V_884
ARMC4,V_885
ARMC5,V_886
ARMC6,V_887
ARMC7,V_888
ARMC8,V_889
ARMC9,V_890
ARMCX1,V_891
ARMCX2,V_892
ARMCX3,V_893
ARMCX5,V_894
ARMT1,V_895
ARNT,V_896
ARNT2,V_897
ARNTL,V_898
ARNTL2,V_899
ARPC1B,V_900
ARPP21,V_901
ARR3,V_902
ARRB1,V_903
ARRDC2,V_904
ARRDC3,V_905
ARRDC4,V_906
ARSA,V_907
ARSB,V_908
ARSD,V_909
ARSE,V_910
ARSF,V_911
ARSG,V_912
ARSH,V_913
ARSI,V_914
ARSJ,V_915
ARSK,V_916
ART1,V_917
ART3,V_918
ART4,V_919
ARV1,V_920
ARVCF,V_921
ASAH1,V_922
ASAH2,V_923
ASAP1,V_924
ASAP2,V_925
ASAP3,V_926
ASB10,V_927
ASB11,V_928
ASB12,V_929
ASB13,V_930
ASB15,V_931
ASB16,V_932
ASB17,V_933
ASB2,V_934
ASB4,V_935
ASB5,V_936
ASB6,V_937
ASB7,V_938
ASB8,V_939
ASB9,V_940
ASCC2,V_941
ASCC3,V_942
ASCL3,V_943
ASF1B,V_944
ASGR1,V_945
ASGR2,V_946
ASH1L,V_947
ASIC1,V_948
ASIC2,V_949
ASIC3,V_950
ASIC4,V_951
ASIC5,V_952
ASIP,V_953
ASL,V_954
ASMT,V_955
ASMTL,V_956
ASNA1,V_957
ASNS,V_958
ASNSD1,V_959
ASPA,V_960
ASPDH,V_961
ASPG,V_962
ASPH,V_963
ASPHD1,V_964
ASPHD2,V_965
ASPM,V_966
ASPRV1,V_967
ASPSCR1,V_968
ASRGL1,V_969
ASS1,V_970
ASTE1,V_971
ASTL,V_972
ASTN1,V_973
ASTN2,V_974
ASUN,V_975
ASXL1,V_976
ASXL2,V_977
ASXL3,V_978
ASZ1,V_979
ATAD1,V_980
ATAD2,V_981
ATAD2B,V_982
ATAD3A,V_983
ATAD3B,V_984
ATAD3C,V_985
ATAD5,V_986
ATAT1,V_987
ATCAY,V_988
ATE1,V_989
ATF2,V_990
ATF3,V_991
ATF4P4,V_992
ATF6,V_993
ATF6B,V_994
ATF7,V_995
ATF7IP,V_996
ATF7IP2,V_997
ATG13,V_998
ATG14,V_999
ATG16L1,V_1000
ATG16L2,V_1001
ATG2A,V_1002
ATG2B,V_1003
ATG3,V_1004
ATG4B,V_1005
ATG4C,V_1006
ATG4D,V_1007
ATG7,V_1008
ATG9A,V_1009
ATG9B,V_1010
ATHL1,V_1011
ATIC,V_1012
ATL1,V_1013
ATL2,V_1014
ATM,V_1015
ATMIN,V_1016
ATN1,V_1017
ATOH1,V_1018
ATOH8,V_1019
ATP10A,V_1020
ATP10B,V_1021
ATP10D,V_1022
ATP11A,V_1023
ATP11B,V_1024
ATP11C,V_1025
ATP12A,V_1026
ATP13A1,V_1027
ATP13A2,V_1028
ATP13A3,V_1029
ATP13A4,V_1030
ATP13A5,V_1031
ATP1A1,V_1032
ATP1A2,V_1033
ATP1A3,V_1034
ATP1A4,V_1035
ATP1B1,V_1036
ATP1B4,V_1037
ATP2A1,V_1038
ATP2A2,V_1039
ATP2A3,V_1040
ATP2B1,V_1041
ATP2B2,V_1042
ATP2B3,V_1043
ATP2B4,V_1044
ATP2C1,V_1045
ATP2C2,V_1046
ATP4A,V_1047
ATP5A1,V_1048
ATP5B,V_1049
ATP5C1,V_1050
ATP5G2,V_1051
ATP5SL,V_1052
ATP6AP1,V_1053
ATP6AP1L,V_1054
ATP6V0A1,V_1055
ATP6V0A2,V_1056
ATP6V0A4,V_1057
ATP6V0B,V_1058
ATP6V0D1,V_1059
ATP6V0D2,V_1060
ATP6V0E1,V_1061
ATP6V1A,V_1062
ATP6V1B1,V_1063
ATP6V1B2,V_1064
ATP6V1C1,V_1065
ATP6V1C2,V_1066
ATP6V1H,V_1067
ATP7A,V_1068
ATP7B,V_1069
ATP8A1,V_1070
ATP8A2,V_1071
ATP8B1,V_1072
ATP8B2,V_1073
ATP8B3,V_1074
ATP8B4,V_1075
ATP8B5P,V_1076
ATP9A,V_1077
ATP9B,V_1078
ATPAF2,V_1079
ATR,V_1080
ATRIP,V_1081
ATRN,V_1082
ATRNL1,V_1083
ATRX,V_1084
ATXN1,V_1085
ATXN2,V_1086
ATXN2L,V_1087
ATXN3,V_1088
ATXN3L,V_1089
ATXN7,V_1090
ATXN7L1,V_1091
